,primary key,before,after
0,동작 상떼빌,신대방동 719,서울 동작구 신대방1가길 38
0,동천재활체육센터,노원로 18길 41,서울 노원구 노원로18길 41
0,두드림빌딩,월드컵로13길 34,서울 마포구 월드컵로13길 34
0,두산위브주택조합,상도로30길 40,서울 동작구 상도로30길 40
0,두산위브파크,광나루로 369,서울 광진구 광나루로 369
0,두산타워,장충단로 275(을지로6가),
0,듀오트리스,상봉로 131(상봉동),
0,드림리버오피스텔관리단,서울 영등포구 은행로 54,서울 영등포구 은행로 54
0,디에이치반포라클라스,서울 서초구 서초중앙로 206,서울 서초구 서초중앙로 206
0,디엘이앤씨 주식회사,서울 종로구 통일로 134 D타워돈의문,
0,디엠씨씨 프로젝트 금융투자 주식회사,상암산로 48-6 (상암동),
0,디오슈페리움(1단지),관악로164(봉천동 856-5),
0,디오슈페리움1단지,관악로164(봉천동 856-5),
0,디지털엠파이어,범안로 1130(가산동 685),
0,래미안대치팰리스2단지,삼성로51길 35(대치동 1027),
0,래미안로이파크,사당동 167-19,
0,래미안목동아델리체,중앙로43길 14,서울 양천구 중앙로43길 14
0,래미안서초유니빌,서초중앙로 26(서초동 1445-4),
0,래미안아트리치(석관2구역),돌곶이로8길 22,서울 성북구 돌곶이로8길 22
0,래미안장위퍼스트하이(장위5구역),장위동 173-114,
0,래미안포레카운티(장위1구역),장위동 144-24(장월로160),
0,램킨중흥S클래스,아차산로13길 16 (성수2가3동),
0,레미안1차,길음로9길 40,서울 성북구 길음로9길 40
0,렉스모터스,광나루로 228 (성수2가3동),
0,로템에스알에스(주),보라매로5길 44(신대방동 395-61),
0,롯데건설,서울특별시 동대문구 (전농동 620-42),
0,롯데건설(사당2구역재건축),사당동 181,서울 동작구 사당로 90
0,롯데건설(주),"독산동 1094 ,지하차도공사현장(강남순환4공구)",
0,롯데건설㈜,"벚꽃로 88(독산동 1005 ,롯데건설 건축현장 )",
0,"롯데물산㈜, 잠실제2롯데월드",올림픽로 300(신천동 29),
0,롯데백화점,도봉로 60(송중동),
0,롯데쇼핑(주)롯데마트 서울양평점,서울특별시 영등포구 선유로 138(양평동3가 45),
0,롯데쇼핑(주)롯데마트금천점,"시흥대로 291(독산동 1155, 금천롯데캐슬골드파크3차상가)",
0,롯데정보통신 아파트형공장,가산디지털2로 179(가산동 533-2),
0,롯데캐슬아르떼관리실,"서울특별시 서초구 방배천로18길 11(방배동 424-28 ,방배롯데캐슬아르떼 )",
0,롯데캐슬아이리스,소공로 35(회현동1가),
0,롯데캐슬피렌체상가,정릉천동로 58(용두동 790),
0,롯데케슬아르떼 관리실,방배천로18길 11(방배동 427-1),
0,르네상스쇼핑몰,신림로340(신림동1422-5),
0,르네상스쇼핑몰관리단,신림로340(신림동1422-5),
0,르피에드 in 강남신축공사현장,서초동 1321-7,
0,르피에드in강남,"서울특별시 서초구 (서초동 1321-7 ,르피에드인강남 )",
0,리드원 센터 관리사무소,양산로 91(당산동3가 550),
0,리마크빌,다산로 258,서울 중구 다산로 258
0,리마크빌영등포관리사무소,영중로 119(영등포동8가 35-1),
0,링커병원,백제고분로 436,서울 송파구 백제고분로 436
0,마곡대방디엠시티2차,마곡동로10길 23,서울 강서구 마곡동로10길 23
0,마에스트로 생활문화 지원실,남부순환로218길 1(봉천동 869-6),
0,마에스트로 캠퍼스타운,남부순환로1773(봉천동 893-12),
0,마젤란21,양화로 175 (동교동),
0,마포 래미안웰스트림,토정로18길 11,서울 마포구 토정로18길 11
0,마포세무서 신축공사,독막로 234(신수동) 지하4층,
0,마포웨스트리버 태영데시앙,창전동 449,경기 이천시 이섭대천로 1276
0,마포타워,마포대로4다길 41 (마포동),
0,마포트라팰리스,마포대로 53 (도화동),
0,마포프레스티지자이아파트,염리동 507,서울 마포구 대흥로24길 24
